1,Milk,"Milk, human",6.89,0.0,01.03,1.8,6.89,0.014,87.5,1.658,0.497,2.009,4.38,32,0.052,0.03,3,14,51,17,0.17,61,0.05,0.011,5.0,0.08,0.3
2,Milk,"Milk, NFS",4.87,0.0,3.34,1.9,4.89,0.057,89.04,0.426,0.065,1.164,1.99,126,0.001,0.0,12,103,157,39,0.42,59,0.56,0.06,0.1,0.03,0.2
3,Milk,"Milk, whole",4.67,0.0,3.28,1.9,4.81,0.056,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3
4,Milk,"Milk, low sodium, whole",4.46,0.0,3.1,2.0,4.46,0.02,88.2,0.999,0.128,2.154,3.46,101,0.01,0.05,5,86,253,3,0.38,29,0.36,0.034,0.9,0.08,0.3
5,Milk,"Milk, calcium fortified, whole",4.67,0.0,3.28,1.9,4.81,0.056,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3
6,Milk,"Milk, calcium fortified, low fat (1%)",5.19,0.0,3.38,2.1,4.96,0.057,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1
7,Milk,"Milk, calcium fortified, fat free (skim)",4.85,0.0,3.4,2.1,4.85,0.036,90.8,0.047,0.007,0.117,0.18,204,0.011,0.04,11,101,166,52,0.4,137,0.38,0.04,1.0,0.01,0.0
8,Milk,"Milk, reduced fat (2%)",4.91,0.0,3.35,1.8,4.89,0.059,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2
9,Milk,"Milk, acidophilus, low fat (1%)",5.19,0.0,3.38,2.1,4.96,0.057,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1
10,Milk,"Milk, acidophilus, reduced fat (2%)",4.91,0.0,3.35,1.8,4.89,0.059,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2
11,Milk,"Milk, low fat (1%)",5.19,0.0,3.38,2.1,4.96,0.057,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1
12,Milk,"Milk, fat free (skim)",4.89,0.0,3.43,2.0,05.05,0.056,90.8,0.017,0.006,0.049,0.08,132,0.002,0.0,12,107,167,41,0.45,64,0.58,0.058,0.0,0.0,0.0
13,Milk,"Milk, lactose free, low fat (1%)",5.19,0.0,3.38,2.1,4.96,0.057,89.7,0.21,0.032,0.568,0.95,126,0.001,0.0,12,103,159,39,0.43,58,0.61,0.06,0.0,0.02,0.1
14,Milk,"Milk, lactose free, fat free (skim)",4.89,0.0,3.43,2.0,05.05,0.056,90.8,0.017,0.006,0.049,0.08,132,0.002,0.0,12,107,167,41,0.45,64,0.58,0.058,0.0,0.0,0.0
15,Milk,"Milk, lactose free, reduced fat (2%)",4.91,0.0,3.35,1.8,4.89,0.059,89.1,0.4,0.058,1.11,1.9,126,0.001,0.0,12,103,159,39,0.43,83,0.55,0.061,0.2,0.03,0.2
16,Milk,"Milk, lactose free, whole",4.67,0.0,3.28,1.9,4.81,0.056,88.1,0.688,0.108,1.86,3.2,123,0.001,0.0,12,101,150,38,0.41,32,0.54,0.061,0.0,0.05,0.3
17,Buttermilk,"Buttermilk, fat free (skim)",4.79,0.0,3.31,2.0,4.79,0.034,90.13,0.254,0.033,0.66,01.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1.0,0.05,0.1
18,Buttermilk,"Buttermilk, low fat (1%)",4.79,0.0,3.31,2.0,4.79,0.034,90.13,0.254,0.033,0.66,01.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1.0,0.05,0.1
19,Buttermilk,"Buttermilk, reduced fat (2%)",5.3,0.0,4.1,2.3,5.3,0.05,87.7,0.576,0.071,1.242,2.0,143,0.008,0.06,13,82,180,105,0.24,16,0.37,0.03,1.5,0.11,0.1
20,Buttermilk,"Buttermilk, whole",4.88,0.0,3.21,3.7,4.88,0.047,87.91,0.827,0.198,1.899,3.31,115,0.025,0.03,10,85,135,105,0.38,47,0.46,0.036,0.0,0.07,0.3
21,Kefir,"Kefir, NS as to fat content",7.48,0.0,3.59,3.6,6.91,0.03,87.26,0.286,0.047,0.596,0.96,124,0.009,0.04,12,100,159,38,0.45,174,0.3,0.059,0.8,0.04,0.6
22,Goat's milk,"Goat's milk, whole",4.45,0.0,3.56,1.4,4.45,0.048,87.03,1.109,0.149,2.667,4.14,134,0.046,0.05,14,111,204,50,0.3,57,0.07,0.046,1.3,0.07,0.3
23,Milk,"Milk, dry, reconstituted, NS as to fat content",4.6,0.0,3.2,2.4,4.6,0.037,91.34,0.018,0.003,0.044,0.07,114,0.013,0.03,11,86,159,51,0.37,58,0.36,0.032,0.6,0.0,0.0
